# 内容 + 时期 + 是否可选
# 内容: 包括GPA、GRE考试、社团活动等node（库）的数据，多个内容用 - 分隔
# 时期: （1-13分别表示大一上到大四上（包括寒暑假）13个时间段，0表示任何时段）
# 是否可选: (0表示必选，1表示根据学生选择，2表示可选)
1,gpa,GPA任务,将GPA提升至?以上//GPA
2,gre,GRE任务,将GRE提升至?以上//GRE考试
3,toefl,托福任务,将托福提升至?以上//托福考试
4,ielts,雅思任务,将雅思提升至?以上//雅思考试
5,research,科研任务,参加一次科研//科研能力提升
6,internship,实习任务,参加一次实习//获得实习经验
#7,gpa//海外大学交换
#8,gpa//Summer School
#9,gpa//转学去美国读本科
#10,gpa//参加名校的访问项目
11,competition,竞赛任务,参加一次竞赛//参加专业相关竞赛
12,credential,证书任务,获得相关证书//参加专业相关的资格认证
#13,competition,竞赛任务,完成一次竞赛任务//参加非专业相关竞赛
14,activity,活动任务,参加一次活动//参加专业相关社团活动
#15,activity//参加非专业相关社团活动
#16//人文素养培养
#17//体育锻炼
#79,写文书//写文书
#80,选择申请学校列表//选择申请学校列表
#81,网上申请//网上申请
#94,申请后工作任务//申请后工作
#101,activity,志愿者任务//参加一个志愿者的项目
102,scholarship,奖学金任务,完成一次奖学金任务//努力获得奖学金
103,gmat,GMAT任务,将GMAT提升至?以上//GMAT考试
#104,reletter,推荐信任务//推荐信
