#大一上
gpa,5
ielts/toefl,3
gre/gmat,2.5
research,2
internship,0.9
activity,4.5
scholarship,4
competition,3.5
credential,1
#大一下
gpa,5
ielts/toefl,2
gre/gmat,2.5
research,3
internship,0.9
activity,4
scholarship,3.5
competition,4.5
credential,1
#大二上
gpa,5
ielts/toefl,2.5
gre/gmat,4
research,3
internship,0.9
activity,1
scholarship,3.5
competition,4.5
credential,2
#大二下
gpa,5
ielts/toefl,3
gre/gmat,2.5
research,2
internship,0.9
activity,4.5
scholarship,4
competition,3.5
credential,1
#大三上
gpa,5
ielts/toefl,4.5
gre/gmat,4
research,3.5
internship,2
activity,0.9
scholarship,1
competition,3
credential,2.5
#大三下
gpa,5
ielts/toefl,4
gre/gmat,4.5
research,3.5
internship,2
activity,0.9
scholarship,1
competition,2.5
credential,3
#大四上
gpa,4
ielts/toefl,5
gre/gmat,4.5
research,3.5
internship,3
activity,0.9
scholarship,2.5
competition,1
credential,1
#大四下
gpa,5
ielts/toefl,1
gre/gmat,0.9
research,4
internship,4.5
activity,2
scholarship,3
competition,2.5
credential,3.5
