#1-大一上
gpa,15
activity,3
scholarship,2
competition,4
ielts,0.5
toefl,0.5
gre,0.5
gmat,0.5
internship,2
credential,1
research,0.5
#2-大一下
gpa,15
activity,3
scholarship,3
competition,4
ielts,0.5
toefl,0.5
gre,0.5
gmat,0.5
internship,2
credential,1
research,1
#3-大二上
gpa,15
ielts,4
toefl,4
gre,2
gmat,2
research,3
internship,2
activity,2
scholarship,3
competition,4.5
credential,1
#4-大二下
gpa,15
ielts,4
toefl,4
gre,2.5
gmat,2.5
research,3
internship,2
activity,2
scholarship,2.5
competition,4
credential,1
#5-大三上
gpa,12
ielts,4.5
toefl,4.5
gre,4
gmat,4
research,4
internship,3
activity,2
scholarship,1
competition,1
credential,1
#6-大三下
gpa,12
ielts,5
toefl,5
gre,5
gmat,5
research,5
internship,3
activity,1.5
scholarship,1
competition,1
credential,1
#7-大四上
gpa,4
ielts,5
toefl,5
gre,4.5
gmat,4.5
research,3.5
internship,3
activity,0.9
scholarship,1
competition,2.5
credential,2
#8-大四下
gpa,5
ielts,1
toefl,1
gre,0.9
gmat,0.9
research,4
internship,4.5
activity,2
scholarship,2.5
competition,3
credential,3.5
