# 内容 + 时期 + 是否可选
# 内容: 包括GPA、GRE考试、社团活动等node（库）的数据，多个内容用 - 分隔
# 时期: （1-13分别表示大一上到大四上（包括寒暑假）13个时间段，0表示任何时段）
# 是否可选: (0表示必选，1表示根据学生选择，2表示可选)
1,1-3-5-7-9-11,0//GPA
2,5-6-7-8-9-10-11,0//GRE考试
3,5-6-7-8-9-10-11,1//托福考试
4,5-6-7-8-9-10-11,1//雅思考试
5,6-8-10-12,0//科研能力提升
6,2-4-6-8-10-12,0//获得实习经验
7,5-7-9-11,2//海外大学交换
8,2-4-6-8-10-12,2//Summer School
9,5,2//转学去美国读本科
10,9-11,2//参加名校的访问项目
11,1-2-3-4-5-6-7-8-9-10-11-12-13,2//参加专业相关竞赛
12,9-11,2//参加专业相关的资格认证
13,9-11,2//参加非专业相关竞赛
14,1-2-3-4,2//参加专业相关社团活动
15,1-2-3-4,2//参加非专业相关社团活动
16,1-2-3-4-5-6-7-8-9-10-11-12-13,0//人文素养培养
17,1-2-3-4-5-6-7-8-9-10-11-12-13,0//体育锻炼
79,13,0//写文书
80,13,0//选择申请学校列表
81,13,0//网上申请
94,14,0//申请后工作
